No.;Time;;Time 1;Time 2;;Delay;Delay 1;Delay 2;;Jitter
1;0;;0;0,00083;;0,00083;0,000829;0,002805;;0,001976
2;0,00083;;0,00083;0,000831;;1E-06;-0,001976;0,090201;;0,092177
3;0,000831;;0,000831;0,002808;;0,001977;-0,092177;-0,183318;;-0,091141
4;0,002808;;0,002808;0,096962;;0,094154;0,091141;0,176555;;0,085414
5;0,096962;;0,096962;0,099975;;0,003013;-0,085414;-0,17384;;-0,088426
6;0,099975;;0,099975;0,188402;;0,088427;0,088426;0,088425;;-1E-06
7;0,188402;;0,188402;0,188403;;1E-06;1E-06;0,011215;;0,011214
8;0,188403;;0,188403;0,188403;;0;-0,011214;-0,021413;;-0,010199
9;0,188403;;0,188403;0,199617;;0,011214;0,010199;0,009219;;-0,00098
10;0,199617;;0,199617;0,200632;;0,001015;0,00098;0,085627;;0,084647
11;0,200632;;0,200632;0,200667;;3,5E-05;-0,084647;-0,135601;;-0,050954
12;0,200667;;0,200667;0,285349;;0,084682;0,050954;0,024861;;-0,026093
13;0,285349;;0,285349;0,319077;;0,033728;0,026093;0,077672;;0,051579
14;0,319077;;0,319077;0,326712;;0,007635;-0,051579;-0,110792;;-0,059213
15;0,326712;;0,326712;0,385926;;0,059214;0,059213;0,065885;;0,006672
16;0,385926;;0,385926;0,385927;;1E-06;-0,006672;-0,013345;;-0,006673
17;0,385927;;0,385927;0,3926;;0,006673;0,006673;0,006735;;6,2E-05
18;0,3926;;0,3926;0,3926;;0;-6,2E-05;0,132483;;0,132545
19;0,3926;;0,3926;0,392662;;6,2E-05;-0,132545;-0,214419;;-0,081874
20;0,392662;;0,392662;0,525269;;0,132607;0,081874;0,155827;;0,073953
21;0,525269;;0,525269;0,576002;;0,050733;-0,073953;0,845678;;0,919631
22;0,576002;;0,576002;0,700688;;0,124686;-0,919631;-1,902026;;-0,982395
23;0,700688;;0,700688;1,745005;;1,044317;0,982395;1,210619;;0,228224
24;1,745005;;1,745005;1,806927;;0,061922;-0,228224;1,086164;;1,314388
25;1,806927;;1,806927;2,097073;;0,290146;-1,314388;-2,434735;;-1,120347
26;2,097073;;2,097073;3,701607;;1,604534;1,120347;0,636177;;-0,48417
27;3,701607;;3,701607;4,185794;;0,484187;0,48417;0,524934;;0,040764
28;4,185794;;4,185794;4,185811;;1,7E-05;-0,040764;-0,04679;;-0,006026
29;4,185811;;4,185811;4,226592;;0,040781;0,006026;-0,009579;;-0,015605
30;4,226592;;4,226592;4,261347;;0,034755;0,015605;0,016069;;0,000464
31;4,261347;;4,261347;4,280497;;0,01915;-0,000464;-0,019871;;-0,019407
32;4,280497;;4,280497;4,300111;;0,019614;0,019407;0,021318;;0,001911
33;4,300111;;4,300111;4,300318;;0,000207;-0,001911;0,023901;;0,025812
34;4,300318;;4,300318;4,302436;;0,002118;-0,025812;-0,053694;;-0,027882
35;4,302436;;4,302436;4,330366;;0,02793;0,027882;0,02933;;0,001448
36;4,330366;;4,330366;4,330414;;4,8E-05;-0,001448;-0,002922;;-0,001474
37;4,330414;;4,330414;4,33191;;0,001496;0,001474;0,00197;;0,000496
38;4,33191;;4,33191;4,331932;;2,2E-05;-0,000496;-0,001013;;-0,000517
39;4,331932;;4,331932;4,33245;;0,000518;0,000517;0,000517;;0
40;4,33245;;4,33245;4,332451;;1E-06;0;2,2E-05;;2,2E-05
41;4,332451;;4,332451;4,332452;;1E-06;-2,2E-05;0,013315;;0,013337
42;4,332452;;4,332452;4,332475;;2,3E-05;-0,013337;0,002333;;0,01567
